U+00B7	·	MIDDLE DOT
U+54C7	哇	CJK UNIFIED IDEOGRAPH-54C7
U+54C8	哈	CJK UNIFIED IDEOGRAPH-54C8
U+54C9	哉	CJK UNIFIED IDEOGRAPH-54C9
U+54CD	响	CJK UNIFIED IDEOGRAPH-54CD
U+54CE	哎	CJK UNIFIED IDEOGRAPH-54CE
U+54D7	哗	CJK UNIFIED IDEOGRAPH-54D7
U+54DF	哟	CJK UNIFIED IDEOGRAPH-54DF
U+54E5	哥	CJK UNIFIED IDEOGRAPH-54E5
U+54E6	哦	CJK UNIFIED IDEOGRAPH-54E6
U+54E8	哨	CJK UNIFIED IDEOGRAPH-54E8
U+54EA	哪	CJK UNIFIED IDEOGRAPH-54EA
U+54ED	哭	CJK UNIFIED IDEOGRAPH-54ED
U+54FA	哺	CJK UNIFIED IDEOGRAPH-54FA
U+54FC	哼	CJK UNIFIED IDEOGRAPH-54FC
U+5506	唆	CJK UNIFIED IDEOGRAPH-5506
U+5509	唉	CJK UNIFIED IDEOGRAPH-5509
U+5510	唐	CJK UNIFIED IDEOGRAPH-5510
U+5514	唔	CJK UNIFIED IDEOGRAPH-5514
U+5524	唤	CJK UNIFIED IDEOGRAPH-5524
U+5527	唧	CJK UNIFIED IDEOGRAPH-5527
U+552C	唬	CJK UNIFIED IDEOGRAPH-552C
U+552E	售	CJK UNIFIED IDEOGRAPH-552E
U+552F	唯	CJK UNIFIED IDEOGRAPH-552F
U+5531	唱	CJK UNIFIED IDEOGRAPH-5531
U+5537	唷	CJK UNIFIED IDEOGRAPH-5537
U+553E	唾	CJK UNIFIED IDEOGRAPH-553E
U+5546	商	CJK UNIFIED IDEOGRAPH-5546
U+554A	啊	CJK UNIFIED IDEOGRAPH-554A
U+5555	啕	CJK UNIFIED IDEOGRAPH-5555
U+5565	啥	CJK UNIFIED IDEOGRAPH-5565
U+5566	啦	CJK UNIFIED IDEOGRAPH-5566
U+5567	啧	CJK UNIFIED IDEOGRAPH-5567
U+556C	啬	CJK UNIFIED IDEOGRAPH-556C
U+5570	啰	CJK UNIFIED IDEOGRAPH-5570
U+5582	喂	CJK UNIFIED IDEOGRAPH-5582
U+5584	善	CJK UNIFIED IDEOGRAPH-5584
U+558A	喊	CJK UNIFIED IDEOGRAPH-558A
U+5594	喔	CJK UNIFIED IDEOGRAPH-5594
U+5598	喘	CJK UNIFIED IDEOGRAPH-5598
U+559C	喜	CJK UNIFIED IDEOGRAPH-559C
U+559D	喝	CJK UNIFIED IDEOGRAPH-559D
U+55BD	喽	CJK UNIFIED IDEOGRAPH-55BD
U+55D2	嗒	CJK UNIFIED IDEOGRAPH-55D2
U+55DC	嗜	CJK UNIFIED IDEOGRAPH-55DC
U+55E6	嗦	CJK UNIFIED IDEOGRAPH-55E6
U+55E8	嗨	CJK UNIFIED IDEOGRAPH-55E8
U+55EF	嗯	CJK UNIFIED IDEOGRAPH-55EF
U+55F5	嗵	CJK UNIFIED IDEOGRAPH-55F5
U+5601	嘁	CJK UNIFIED IDEOGRAPH-5601
U+5609	嘉	CJK UNIFIED IDEOGRAPH-5609
U+560E	嘎	CJK UNIFIED IDEOGRAPH-560E
U+561B	嘛	CJK UNIFIED IDEOGRAPH-561B
U+5631	嘱	CJK UNIFIED IDEOGRAPH-5631
U+5632	嘲	CJK UNIFIED IDEOGRAPH-5632
U+5634	嘴	CJK UNIFIED IDEOGRAPH-5634
U+563B	嘻	CJK UNIFIED IDEOGRAPH-563B
U+563F	嘿	CJK UNIFIED IDEOGRAPH-563F
U+5657	噗	CJK UNIFIED IDEOGRAPH-5657
U+5662	噢	CJK UNIFIED IDEOGRAPH-5662
U+5668	器	CJK UNIFIED IDEOGRAPH-5668
U+566C	噬	CJK UNIFIED IDEOGRAPH-566C
U+5676	噶	CJK UNIFIED IDEOGRAPH-5676
U+568E	嚎	CJK UNIFIED IDEOGRAPH-568E
U+56AF	嚯	CJK UNIFIED IDEOGRAPH-56AF
U+56DA	囚	CJK UNIFIED IDEOGRAPH-56DA
U+56DB	四	CJK UNIFIED IDEOGRAPH-56DB
U+56DE	回	CJK UNIFIED IDEOGRAPH-56DE
U+56E0	因	CJK UNIFIED IDEOGRAPH-56E0
U+56E2	团	CJK UNIFIED IDEOGRAPH-56E2
U+56ED	园	CJK UNIFIED IDEOGRAPH-56ED
U+56F0	困	CJK UNIFIED IDEOGRAPH-56F0
U+56F4	围	CJK UNIFIED IDEOGRAPH-56F4
U+56FA	固	CJK UNIFIED IDEOGRAPH-56FA
U+56FD	国	CJK UNIFIED IDEOGRAPH-56FD
U+56FE	图	CJK UNIFIED IDEOGRAPH-56FE
U+5706	圆	CJK UNIFIED IDEOGRAPH-5706
U+5708	圈	CJK UNIFIED IDEOGRAPH-5708
U+571F	土	CJK UNIFIED IDEOGRAPH-571F
U+5723	圣	CJK UNIFIED IDEOGRAPH-5723
U+5728	在	CJK UNIFIED IDEOGRAPH-5728
U+5730	地	CJK UNIFIED IDEOGRAPH-5730
U+573A	场	CJK UNIFIED IDEOGRAPH-573A
U+573E	圾	CJK UNIFIED IDEOGRAPH-573E
U+5747	均	CJK UNIFIED IDEOGRAPH-5747
U+574F	坏	CJK UNIFIED IDEOGRAPH-574F
U+5750	坐	CJK UNIFIED IDEOGRAPH-5750
U+5751	坑	CJK UNIFIED IDEOGRAPH-5751
U+5757	块	CJK UNIFIED IDEOGRAPH-5757
U+575A	坚	CJK UNIFIED IDEOGRAPH-575A
U+575B	坛	CJK UNIFIED IDEOGRAPH-575B
U+575F	坟	CJK UNIFIED IDEOGRAPH-575F
U+5766	坦	CJK UNIFIED IDEOGRAPH-5766
U+5782	垂	CJK UNIFIED IDEOGRAPH-5782
U+5783	垃	CJK UNIFIED IDEOGRAPH-5783
U+578B	型	CJK UNIFIED IDEOGRAPH-578B
U+5792	垒	CJK UNIFIED IDEOGRAPH-5792
U+57A0	垠	CJK UNIFIED IDEOGRAPH-57A0
U+57AB	垫	CJK UNIFIED IDEOGRAPH-57AB
U+57AE	垮	CJK UNIFIED IDEOGRAPH-57AE
U+57C3	埃	CJK UNIFIED IDEOGRAPH-57C3
U+57CB	埋	CJK UNIFIED IDEOGRAPH-57CB
U+57CE	城	CJK UNIFIED IDEOGRAPH-57CE
U+57DF	域	CJK UNIFIED IDEOGRAPH-57DF
U+57F9	培	CJK UNIFIED IDEOGRAPH-57F9
U+57FA	基	CJK UNIFIED IDEOGRAPH-57FA
U+5802	堂	CJK UNIFIED IDEOGRAPH-5802
U+5806	堆	CJK UNIFIED IDEOGRAPH-5806
U+5815	堕	CJK UNIFIED IDEOGRAPH-5815
U+5821	堡	CJK UNIFIED IDEOGRAPH-5821
U+582A	堪	CJK UNIFIED IDEOGRAPH-582A
U+5835	堵	CJK UNIFIED IDEOGRAPH-5835
U+584C	塌	CJK UNIFIED IDEOGRAPH-584C
U+5854	塔	CJK UNIFIED IDEOGRAPH-5854
U+585E	塞	CJK UNIFIED IDEOGRAPH-585E
U+586B	填	CJK UNIFIED IDEOGRAPH-586B
U+5883	境	CJK UNIFIED IDEOGRAPH-5883
U+5893	墓	CJK UNIFIED IDEOGRAPH-5893
U+5899	墙	CJK UNIFIED IDEOGRAPH-5899
U+589E	增	CJK UNIFIED IDEOGRAPH-589E
U+589F	墟	CJK UNIFIED IDEOGRAPH-589F
U+58C1	壁	CJK UNIFIED IDEOGRAPH-58C1
U+58EB	士	CJK UNIFIED IDEOGRAPH-58EB
U+58EE	壮	CJK UNIFIED IDEOGRAPH-58EE
U+58F0	声	CJK UNIFIED IDEOGRAPH-58F0
U+58F3	壳	CJK UNIFIED IDEOGRAPH-58F3
U+5904	处	CJK UNIFIED IDEOGRAPH-5904
U+5907	备	CJK UNIFIED IDEOGRAPH-5907
U+590D	复	CJK UNIFIED IDEOGRAPH-590D
U+5915	夕	CJK UNIFIED IDEOGRAPH-5915
U+5916	外	CJK UNIFIED IDEOGRAPH-5916
U+591A	多	CJK UNIFIED IDEOGRAPH-591A
U+591C	夜	CJK UNIFIED IDEOGRAPH-591C
U+591F	够	CJK UNIFIED IDEOGRAPH-591F
U+5927	大	CJK UNIFIED IDEOGRAPH-5927
U+5929	天	CJK UNIFIED IDEOGRAPH-5929
U+592A	太	CJK UNIFIED IDEOGRAPH-592A
U+592B	夫	CJK UNIFIED IDEOGRAPH-592B
U+592D	夭	CJK UNIFIED IDEOGRAPH-592D
U+592E	央	CJK UNIFIED IDEOGRAPH-592E
U+5931	失	CJK UNIFIED IDEOGRAPH-5931
U+5934	头	CJK UNIFIED IDEOGRAPH-5934
U+5938	夸	CJK UNIFIED IDEOGRAPH-5938
U+5939	夹	CJK UNIFIED IDEOGRAPH-5939
U+593A	夺	CJK UNIFIED IDEOGRAPH-593A
U+5947	奇	CJK UNIFIED IDEOGRAPH-5947
U+5948	奈	CJK UNIFIED IDEOGRAPH-5948
U+5949	奉	CJK UNIFIED IDEOGRAPH-5949
U+594B	奋	CJK UNIFIED IDEOGRAPH-594B
U+594F	奏	CJK UNIFIED IDEOGRAPH-594F
U+5951	契	CJK UNIFIED IDEOGRAPH-5951
U+5954	奔	CJK UNIFIED IDEOGRAPH-5954
U+5956	奖	CJK UNIFIED IDEOGRAPH-5956
U+5957	套	CJK UNIFIED IDEOGRAPH-5957
U+5962	奢	CJK UNIFIED IDEOGRAPH-5962
U+5965	奥	CJK UNIFIED IDEOGRAPH-5965
U+5973	女	CJK UNIFIED IDEOGRAPH-5973
U+5974	奴	CJK UNIFIED IDEOGRAPH-5974
U+5979	她	CJK UNIFIED IDEOGRAPH-5979
U+597D	好	CJK UNIFIED IDEOGRAPH-597D
U+5982	如	CJK UNIFIED IDEOGRAPH-5982
U+5984	妄	CJK UNIFIED IDEOGRAPH-5984
U+5987	妇	CJK UNIFIED IDEOGRAPH-5987
U+5988	妈	CJK UNIFIED IDEOGRAPH-5988
U+5992	妒	CJK UNIFIED IDEOGRAPH-5992
U+5996	妖	CJK UNIFIED IDEOGRAPH-5996
U+5999	妙	CJK UNIFIED IDEOGRAPH-5999
U+599E	妞	CJK UNIFIED IDEOGRAPH-599E
U+59A5	妥	CJK UNIFIED IDEOGRAPH-59A5
U+59A8	妨	CJK UNIFIED IDEOGRAPH-59A8
U+59A9	妩	CJK UNIFIED IDEOGRAPH-59A9
U+59AE	妮	CJK UNIFIED IDEOGRAPH-59AE
U+59B9	妹	CJK UNIFIED IDEOGRAPH-59B9
U+59BB	妻	CJK UNIFIED IDEOGRAPH-59BB
U+59C6	姆	CJK UNIFIED IDEOGRAPH-59C6
U+59CB	始	CJK UNIFIED IDEOGRAPH-59CB
U+59D0	姐	CJK UNIFIED IDEOGRAPH-59D0
U+59D1	姑	CJK UNIFIED IDEOGRAPH-59D1
U+59D3	姓	CJK UNIFIED IDEOGRAPH-59D3
U+59D4	委	CJK UNIFIED IDEOGRAPH-59D4
U+59EC	姬	CJK UNIFIED IDEOGRAPH-59EC
U+59FF	姿	CJK UNIFIED IDEOGRAPH-59FF
U+5A01	威	CJK UNIFIED IDEOGRAPH-5A01
U+5A05	娅	CJK UNIFIED IDEOGRAPH-5A05
U+5A07	娇	CJK UNIFIED IDEOGRAPH-5A07
U+5A18	娘	CJK UNIFIED IDEOGRAPH-5A18
U+5A1C	娜	CJK UNIFIED IDEOGRAPH-5A1C
U+5A36	娶	CJK UNIFIED IDEOGRAPH-5A36
U+5A46	婆	CJK UNIFIED IDEOGRAPH-5A46
U+5A49	婉	CJK UNIFIED IDEOGRAPH-5A49
U+5A5A	婚	CJK UNIFIED IDEOGRAPH-5A5A
U+5A6A	婪	CJK UNIFIED IDEOGRAPH-5A6A
U+5A9A	媚	CJK UNIFIED IDEOGRAPH-5A9A
U+5AC1	嫁	CJK UNIFIED IDEOGRAPH-5AC1
U+5AC9	嫉	CJK UNIFIED IDEOGRAPH-5AC9
U+5ACC	嫌	CJK UNIFIED IDEOGRAPH-5ACC
U+5AE9	嫩	CJK UNIFIED IDEOGRAPH-5AE9
U+5B50	子	CJK UNIFIED IDEOGRAPH-5B50
U+5B54	孔	CJK UNIFIED IDEOGRAPH-5B54
U+5B55	孕	CJK UNIFIED IDEOGRAPH-5B55
U+5B57	字	CJK UNIFIED IDEOGRAPH-5B57
U+5B58	存	CJK UNIFIED IDEOGRAPH-5B58
U+5B59	孙	CJK UNIFIED IDEOGRAPH-5B59
U+5B5D	孝	CJK UNIFIED IDEOGRAPH-5B5D
U+5B64	孤	CJK UNIFIED IDEOGRAPH-5B64
U+5B66	学	CJK UNIFIED IDEOGRAPH-5B66
U+5B69	孩	CJK UNIFIED IDEOGRAPH-5B69
U+5B6A	孪	CJK UNIFIED IDEOGRAPH-5B6A
U+5B6C	孬	CJK UNIFIED IDEOGRAPH-5B6C
U+5B81	宁	CJK UNIFIED IDEOGRAPH-5B81
U+5B83	它	CJK UNIFIED IDEOGRAPH-5B83
U+5B88	守	CJK UNIFIED IDEOGRAPH-5B88
U+5B89	安	CJK UNIFIED IDEOGRAPH-5B89
U+5B8C	完	CJK UNIFIED IDEOGRAPH-5B8C
U+5B97	宗	CJK UNIFIED IDEOGRAPH-5B97
U+5B98	官	CJK UNIFIED IDEOGRAPH-5B98
U+5B9A	定	CJK UNIFIED IDEOGRAPH-5B9A
U+5B9C	宜	CJK UNIFIED IDEOGRAPH-5B9C
U+5B9D	宝	CJK UNIFIED IDEOGRAPH-5B9D
U+5B9E	实	CJK UNIFIED IDEOGRAPH-5B9E
U+5BA1	审	CJK UNIFIED IDEOGRAPH-5BA1
U+5BA2	客	CJK UNIFIED IDEOGRAPH-5BA2
U+5BA3	宣	CJK UNIFIED IDEOGRAPH-5BA3
U+5BA4	室	CJK UNIFIED IDEOGRAPH-5BA4
U+5BAB	宫	CJK UNIFIED IDEOGRAPH-5BAB
U+5BB3	害	CJK UNIFIED IDEOGRAPH-5BB3
U+5BB4	宴	CJK UNIFIED IDEOGRAPH-5BB4
U+5BB6	家	CJK UNIFIED IDEOGRAPH-5BB6
U+5BB9	容	CJK UNIFIED IDEOGRAPH-5BB9
U+5BBD	宽	CJK UNIFIED IDEOGRAPH-5BBD
U+5BBE	宾	CJK UNIFIED IDEOGRAPH-5BBE
U+5BBF	宿	CJK UNIFIED IDEOGRAPH-5BBF
U+5BC2	寂	CJK UNIFIED IDEOGRAPH-5BC2
U+5BC4	寄	CJK UNIFIED IDEOGRAPH-5BC4
U+5BC6	密	CJK UNIFIED IDEOGRAPH-5BC6
U+5BCC	富	CJK UNIFIED IDEOGRAPH-5BCC
U+5BD2	寒	CJK UNIFIED IDEOGRAPH-5BD2
U+5BDD	寝	CJK UNIFIED IDEOGRAPH-5BDD
U+5BDE	寞	CJK UNIFIED IDEOGRAPH-5BDE
U+5BDF	察	CJK UNIFIED IDEOGRAPH-5BDF
U+5BE1	寡	CJK UNIFIED IDEOGRAPH-5BE1
U+5BE8	寨	CJK UNIFIED IDEOGRAPH-5BE8
U+5BF8	寸	CJK UNIFIED IDEOGRAPH-5BF8
U+5BF9	对	CJK UNIFIED IDEOGRAPH-5BF9
U+5BFB	寻	CJK UNIFIED IDEOGRAPH-5BFB
U+5BFC	导	CJK UNIFIED IDEOGRAPH-5BFC
U+5BFF	寿	CJK UNIFIED IDEOGRAPH-5BFF
U+5C01	封	CJK UNIFIED IDEOGRAPH-5C01
U+5C04	射	CJK UNIFIED IDEOGRAPH-5C04
U+5C06	将	CJK UNIFIED IDEOGRAPH-5C06
U+5C0A	尊	CJK UNIFIED IDEOGRAPH-5C0A
U+5C0F	小	CJK UNIFIED IDEOGRAPH-5C0F
U+5C11	少	CJK UNIFIED IDEOGRAPH-5C11
U+5C14	尔	CJK UNIFIED IDEOGRAPH-5C14
U+5C16	尖	CJK UNIFIED IDEOGRAPH-5C16
U+5C18	尘	CJK UNIFIED IDEOGRAPH-5C18
U+5C1A	尚	CJK UNIFIED IDEOGRAPH-5C1A
U+5C1D	尝	CJK UNIFIED IDEOGRAPH-5C1D
U+5C24	尤	CJK UNIFIED IDEOGRAPH-5C24
U+5C31	就	CJK UNIFIED IDEOGRAPH-5C31
U+5C38	尸	CJK UNIFIED IDEOGRAPH-5C38
U+5C3A	尺	CJK UNIFIED IDEOGRAPH-5C3A
U+5C3C	尼	CJK UNIFIED IDEOGRAPH-5C3C
U+5C3D	尽	CJK UNIFIED IDEOGRAPH-5C3D
U+5C3E	尾	CJK UNIFIED IDEOGRAPH-5C3E
U+5C40	局	CJK UNIFIED IDEOGRAPH-5C40
U+5C41	屁	CJK UNIFIED IDEOGRAPH-5C41
U+5C42	层	CJK UNIFIED IDEOGRAPH-5C42
U+5C45	居	CJK UNIFIED IDEOGRAPH-5C45
U+5C48	屈	CJK UNIFIED IDEOGRAPH-5C48
U+5C4A	届	CJK UNIFIED IDEOGRAPH-5C4A
U+5C4B	屋	CJK UNIFIED IDEOGRAPH-5C4B
U+5C4F	屏	CJK UNIFIED IDEOGRAPH-5C4F
U+5C55	展	CJK UNIFIED IDEOGRAPH-5C55
U+5C5E	属	CJK UNIFIED IDEOGRAPH-5C5E
U+5C60	屠	CJK UNIFIED IDEOGRAPH-5C60
U+5C61	屡	CJK UNIFIED IDEOGRAPH-5C61
U+5C65	履	CJK UNIFIED IDEOGRAPH-5C65
U+5C71	山	CJK UNIFIED IDEOGRAPH-5C71
U+5C81	岁	CJK UNIFIED IDEOGRAPH-5C81
U+5C82	岂	CJK UNIFIED IDEOGRAPH-5C82
U+5C8C	岌	CJK UNIFIED IDEOGRAPH-5C8C
U+5C94	岔	CJK UNIFIED IDEOGRAPH-5C94
U+5C96	岖	CJK UNIFIED IDEOGRAPH-5C96
U+5C97	岗	CJK UNIFIED IDEOGRAPH-5C97
U+5CA9	岩	CJK UNIFIED IDEOGRAPH-5CA9
U+5CAD	岭	CJK UNIFIED IDEOGRAPH-5CAD
U+5CB3	岳	CJK UNIFIED IDEOGRAPH-5CB3
U+5CB8	岸	CJK UNIFIED IDEOGRAPH-5CB8
U+5CD9	峙	CJK UNIFIED IDEOGRAPH-5CD9
U+5CF0	峰	CJK UNIFIED IDEOGRAPH-5CF0
U+5CFB	峻	CJK UNIFIED IDEOGRAPH-5CFB
U+5D07	崇	CJK UNIFIED IDEOGRAPH-5D07
U+5D0E	崎	CJK UNIFIED IDEOGRAPH-5D0E
U+5D16	崖	CJK UNIFIED IDEOGRAPH-5D16
U+5D29	崩	CJK UNIFIED IDEOGRAPH-5D29
U+5DDD	川	CJK UNIFIED IDEOGRAPH-5DDD
U+5DE1	巡	CJK UNIFIED IDEOGRAPH-5DE1
U+5DE2	巢	CJK UNIFIED IDEOGRAPH-5DE2
U+5DE5	工	CJK UNIFIED IDEOGRAPH-5DE5
U+5DE6	左	CJK UNIFIED IDEOGRAPH-5DE6
U+5DE7	巧	CJK UNIFIED IDEOGRAPH-5DE7
U+5DE8	巨	CJK UNIFIED IDEOGRAPH-5DE8
U+5DE9	巩	CJK UNIFIED IDEOGRAPH-5DE9
U+5DEB	巫	CJK UNIFIED IDEOGRAPH-5DEB
U+5DEE	差	CJK UNIFIED IDEOGRAPH-5DEE
U+5DF1	己	CJK UNIFIED IDEOGRAPH-5DF1
U+5DF2	已	CJK UNIFIED IDEOGRAPH-5DF2
U+5DF4	巴	CJK UNIFIED IDEOGRAPH-5DF4
U+5E01	币	CJK UNIFIED IDEOGRAPH-5E01
U+5E02	市	CJK UNIFIED IDEOGRAPH-5E02
U+5E03	布	CJK UNIFIED IDEOGRAPH-5E03
U+5E05	帅	CJK UNIFIED IDEOGRAPH-5E05
U+5E08	师	CJK UNIFIED IDEOGRAPH-5E08
U+5E0C	希	CJK UNIFIED IDEOGRAPH-5E0C
U+5E10	帐	CJK UNIFIED IDEOGRAPH-5E10
U+5E15	帕	CJK UNIFIED IDEOGRAPH-5E15
U+5E18	帘	CJK UNIFIED IDEOGRAPH-5E18
U+5E1C	帜	CJK UNIFIED IDEOGRAPH-5E1C
U+5E1D	帝	CJK UNIFIED IDEOGRAPH-5E1D
U+5E26	带	CJK UNIFIED IDEOGRAPH-5E26
U+5E2D	席	CJK UNIFIED IDEOGRAPH-5E2D
U+5E2E	帮	CJK UNIFIED IDEOGRAPH-5E2E
U+5E37	帷	CJK UNIFIED IDEOGRAPH-5E37
U+5E38	常	CJK UNIFIED IDEOGRAPH-5E38
U+5E3D	帽	CJK UNIFIED IDEOGRAPH-5E3D
U+5E45	幅	CJK UNIFIED IDEOGRAPH-5E45
U+5E55	幕	CJK UNIFIED IDEOGRAPH-5E55
U+5E72	干	CJK UNIFIED IDEOGRAPH-5E72
U+5E73	平	CJK UNIFIED IDEOGRAPH-5E73
U+5E74	年	CJK UNIFIED IDEOGRAPH-5E74
U+5E76	并	CJK UNIFIED IDEOGRAPH-5E76
U+5E78	幸	CJK UNIFIED IDEOGRAPH-5E78
U+5E7B	幻	CJK UNIFIED IDEOGRAPH-5E7B
U+5E7C	幼	CJK UNIFIED IDEOGRAPH-5E7C
U+5E7D	幽	CJK UNIFIED IDEOGRAPH-5E7D
U+5E7F	广	CJK UNIFIED IDEOGRAPH-5E7F
U+5E84	庄	CJK UNIFIED IDEOGRAPH-5E84
U+5E86	庆	CJK UNIFIED IDEOGRAPH-5E86
U+5E8A	床	CJK UNIFIED IDEOGRAPH-5E8A
U+5E8F	序	CJK UNIFIED IDEOGRAPH-5E8F
U+5E93	库	CJK UNIFIED IDEOGRAPH-5E93
U+5E94	应	CJK UNIFIED IDEOGRAPH-5E94
U+5E95	底	CJK UNIFIED IDEOGRAPH-5E95
U+5E97	店	CJK UNIFIED IDEOGRAPH-5E97
U+5E9C	府	CJK UNIFIED IDEOGRAPH-5E9C
U+5E9E	庞	CJK UNIFIED IDEOGRAPH-5E9E
U+5E9F	废	CJK UNIFIED IDEOGRAPH-5E9F
U+5EA6	度	CJK UNIFIED IDEOGRAPH-5EA6
U+5EA7	座	CJK UNIFIED IDEOGRAPH-5EA7
U+5EAD	庭	CJK UNIFIED IDEOGRAPH-5EAD
U+5EB6	庶	CJK UNIFIED IDEOGRAPH-5EB6
U+5EB7	康	CJK UNIFIED IDEOGRAPH-5EB7
U+5EB8	庸	CJK UNIFIED IDEOGRAPH-5EB8
U+5EF6	延	CJK UNIFIED IDEOGRAPH-5EF6
U+5EF7	廷	CJK UNIFIED IDEOGRAPH-5EF7
U+5EFA	建	CJK UNIFIED IDEOGRAPH-5EFA
U+5F00	开	CJK UNIFIED IDEOGRAPH-5F00
U+5F02	异	CJK UNIFIED IDEOGRAPH-5F02
U+5F03	弃	CJK UNIFIED IDEOGRAPH-5F03
U+5F04	弄	CJK UNIFIED IDEOGRAPH-5F04
U+5F0A	弊	CJK UNIFIED IDEOGRAPH-5F0A
U+5F0F	式	CJK UNIFIED IDEOGRAPH-5F0F
U+5F11	弑	CJK UNIFIED IDEOGRAPH-5F11
U+5F13	弓	CJK UNIFIED IDEOGRAPH-5F13
U+5F15	引	CJK UNIFIED IDEOGRAPH-5F15
U+5F17	弗	CJK UNIFIED IDEOGRAPH-5F17
U+5F1B	弛	CJK UNIFIED IDEOGRAPH-5F1B
U+5F1F	弟	CJK UNIFIED IDEOGRAPH-5F1F
U+5F20	张	CJK UNIFIED IDEOGRAPH-5F20
U+5F25	弥	CJK UNIFIED IDEOGRAPH-5F25
U+5F26	弦	CJK UNIFIED IDEOGRAPH-5F26
U+5F29	弩	CJK UNIFIED IDEOGRAPH-5F29
U+5F2F	弯	CJK UNIFIED IDEOGRAPH-5F2F
U+5F31	弱	CJK UNIFIED IDEOGRAPH-5F31
U+5F39	弹	CJK UNIFIED IDEOGRAPH-5F39
U+5F3A	强	CJK UNIFIED IDEOGRAPH-5F3A
U+5F52	归	CJK UNIFIED IDEOGRAPH-5F52
U+5F53	当	CJK UNIFIED IDEOGRAPH-5F53
U+5F55	录	CJK UNIFIED IDEOGRAPH-5F55
U+5F62	形	CJK UNIFIED IDEOGRAPH-5F62
U+5F69	彩	CJK UNIFIED IDEOGRAPH-5F69
U+5F6C	彬	CJK UNIFIED IDEOGRAPH-5F6C
U+5F71	影	CJK UNIFIED IDEOGRAPH-5F71
U+5F79	役	CJK UNIFIED IDEOGRAPH-5F79
U+5F7B	彻	CJK UNIFIED IDEOGRAPH-5F7B
U+5F7C	彼	CJK UNIFIED IDEOGRAPH-5F7C
U+5F80	往	CJK UNIFIED IDEOGRAPH-5F80
U+5F81	征	CJK UNIFIED IDEOGRAPH-5F81
U+5F84	径	CJK UNIFIED IDEOGRAPH-5F84
U+5F85	待	CJK UNIFIED IDEOGRAPH-5F85
U+5F88	很	CJK UNIFIED IDEOGRAPH-5F88
U+5F8A	徊	CJK UNIFIED IDEOGRAPH-5F8A
U+5F8B	律	CJK UNIFIED IDEOGRAPH-5F8B
U+5F92	徒	CJK UNIFIED IDEOGRAPH-5F92
U+5F97	得	CJK UNIFIED IDEOGRAPH-5F97
U+5F98	徘	CJK UNIFIED IDEOGRAPH-5F98
U+5FA1	御	CJK UNIFIED IDEOGRAPH-5FA1
U+5FAE	微	CJK UNIFIED IDEOGRAPH-5FAE
U+5FB7	德	CJK UNIFIED IDEOGRAPH-5FB7
U+5FC3	心	CJK UNIFIED IDEOGRAPH-5FC3
U+5FC5	必	CJK UNIFIED IDEOGRAPH-5FC5
U+5FC6	忆	CJK UNIFIED IDEOGRAPH-5FC6
U+5FCC	忌	CJK UNIFIED IDEOGRAPH-5FCC
U+5FCD	忍	CJK UNIFIED IDEOGRAPH-5FCD
U+5FD2	忒	CJK UNIFIED IDEOGRAPH-5FD2
U+5FD7	志	CJK UNIFIED IDEOGRAPH-5FD7
U+5FD8	忘	CJK UNIFIED IDEOGRAPH-5FD8
U+5FD9	忙	CJK UNIFIED IDEOGRAPH-5FD9
U+5FE0	忠	CJK UNIFIED IDEOGRAPH-5FE0
U+5FE7	忧	CJK UNIFIED IDEOGRAPH-5FE7
U+5FEA	忪	CJK UNIFIED IDEOGRAPH-5FEA
U+5FEB	快	CJK UNIFIED IDEOGRAPH-5FEB
U+5FF5	念	CJK UNIFIED IDEOGRAPH-5FF5
U+5FFD	忽	CJK UNIFIED IDEOGRAPH-5FFD
U+6000	怀	CJK UNIFIED IDEOGRAPH-6000
U+6001	态	CJK UNIFIED IDEOGRAPH-6001
U+600E	怎	CJK UNIFIED IDEOGRAPH-600E
U+6012	怒	CJK UNIFIED IDEOGRAPH-6012
U+6015	怕	CJK UNIFIED IDEOGRAPH-6015
U+6016	怖	CJK UNIFIED IDEOGRAPH-6016
U+601C	怜	CJK UNIFIED IDEOGRAPH-601C
U+601D	思	CJK UNIFIED IDEOGRAPH-601D
U+6020	怠	CJK UNIFIED IDEOGRAPH-6020
U+6021	怡	CJK UNIFIED IDEOGRAPH-6021
U+6025	急	CJK UNIFIED IDEOGRAPH-6025
U+6027	性	CJK UNIFIED IDEOGRAPH-6027
U+6028	怨	CJK UNIFIED IDEOGRAPH-6028
U+602A	怪	CJK UNIFIED IDEOGRAPH-602A
U+602F	怯	CJK UNIFIED IDEOGRAPH-602F
U+603B	总	CJK UNIFIED IDEOGRAPH-603B
U+604B	恋	CJK UNIFIED IDEOGRAPH-604B
U+6050	恐	CJK UNIFIED IDEOGRAPH-6050
U+6055	恕	CJK UNIFIED IDEOGRAPH-6055
U+6059	恙	CJK UNIFIED IDEOGRAPH-6059
U+6062	恢	CJK UNIFIED IDEOGRAPH-6062
U+6068	恨	CJK UNIFIED IDEOGRAPH-6068
U+6069	恩	CJK UNIFIED IDEOGRAPH-6069
U+606D	恭	CJK UNIFIED IDEOGRAPH-606D
U+606F	息	CJK UNIFIED IDEOGRAPH-606F
U+6070	恰	CJK UNIFIED IDEOGRAPH-6070
U+6076	恶	CJK UNIFIED IDEOGRAPH-6076
U+607C	恼	CJK UNIFIED IDEOGRAPH-607C
